high_school,fall_term,county,frpm_pct,admit_rate_residual,expected_admit_rate,admit_rate,applicants,cds_code
ABRAHAM LINCOLN HIGH SCHOOL,2017,San Francisco,0.5294401544401545,-0.1867419467814579,0.7321964922360034,0.5454545454545454,242.0,38684783833241.0
ABRAHAM LINCOLN HIGH SCHOOL,2017,Santa Clara,0.5597516813243663,-0.0998280572371148,0.6851939108956514,0.5853658536585366,123.0,43696664333795.0
ACALANES HIGH SCHOOL,2017,Contra Costa,0.0198529411764705,-0.0464124590238745,0.7033467655932176,0.656934306569343,137.0,7616300730283.0
ACE CHARTER HIGH SCHOOL,2017,Santa Clara,0.8940397350993378,-0.0655921876516262,0.7322588543182929,0.6666666666666666,6.0,43694270125617.0
ADRIAN C WILCOX HIGH SCHOOL,2017,Santa Clara,0.3656024716786817,0.0413967061408561,0.6811839390204342,0.7225806451612903,155.0,43696744338802.0
ALAMEDA COMMUNITY LEARNING CTR,2017,Alameda,0.2352941176470588,0.1588011594110904,0.6811988405889096,0.84,25.0,1611190130609.0
ALAMEDA HIGH SCHOOL,2017,Alameda,0.1892497200447928,0.0727557311113457,0.693910935555321,0.7666666666666667,210.0,1611190130229.0
ALAMEDA SCIENCE & TECHNICAL INST,2017,Alameda,0.2185792349726776,0.0248497124296886,0.6593608138861008,0.6842105263157895,38.0,1611190106401.0
ALBANY HIGH SCHOOL,2017,Alameda,0.1821305841924398,0.0446406731875091,0.6736691859674204,0.7183098591549296,142.0,1611270130450.0
ALHAMBRA HIGH SCHOOL,2017,Contra Costa,0.1755725190839694,0.0093928089897648,0.6334643338673781,0.6428571428571429,42.0,7617390730549.0
AMADOR VALLEY HIGH SCHOOL,2017,Alameda,0.0509818731117824,-0.0105430337309873,0.7243477475357011,0.7138047138047138,297.0,1751010130583.0
AMERICAN CANYON HIGH SCHOOL,2017,Napa,0.3689320388349514,-0.0472625723918214,0.6913303690019909,0.6440677966101694,59.0,28662660121087.0
AMERICAN HIGH SCHOOL,2017,Alameda,0.1668181818181818,0.0532196461500453,0.7169931198074014,0.7702127659574468,235.0,1611760130062.0
ANALY HIGH SCHOOL,2017,Sonoma,0.1733333333333333,-0.0716618856619868,0.6607029815523978,0.589041095890411,73.0,49706074930400.0
ANDREW P HILL HIGH SCHOOL,2017,Santa Clara,0.6016994158258099,-0.120238375624161,0.6424605978463833,0.5222222222222223,90.0,43694274332995.0
ANGELO RODRIGUEZ HIGH SCHOOL,2017,Solano,0.2897406989853439,-0.105149813248813,0.6468164799154796,0.5416666666666666,72.0,48705404830170.0
ANN SOBRATO HIGH SCHOOL,2017,Santa Clara,0.2938005390835579,-0.1133492134177911,0.6541655399484034,0.5408163265306123,98.0,43695830102368.0
ANTIOCH HIGH SCHOOL,2017,Contra Costa,0.7036466358500256,0.0535421805410707,0.6537748926296609,0.7073170731707317,41.0,7616480730861.0
ARAGON HIGH SCHOOL,2017,San Mateo,0.162700964630225,0.0126496270096537,0.6960117903131808,0.7086614173228346,127.0,41690474130217.0
ARCHIE WILLIAMS HIGH SCHOOL,2017,Marin,0.0779334500875656,-0.1429331590023511,0.6723449237082335,0.5294117647058824,102.0,21654822131340.0
ARISE HIGH SCHOOL,2017,Alameda,0.8941605839416058,-0.3590778333362731,0.7274988859678521,0.3684210526315789,38.0,1612590115238.0
ARMIJO HIGH SCHOOL,2017,Solano,0.567603160667252,-0.050355275185559,0.6840186415221927,0.6336633663366337,101.0,48705404830451.0
ARROYO HIGH SCHOOL,2017,Alameda,0.5073033707865169,-0.1404327227169398,0.666748512190624,0.5263157894736842,95.0,1613090130849.0
ASPIRE LIONEL WILSON COLG PREP,2017,Alameda,0.9223300970873788,-0.2128126858885113,0.7440626858885113,0.53125,32.0,1612590130666.0
ASPIRE RICHMOND CA COLG PREP,2017,Contra Costa,0.7327586206896551,-0.0049502622461665,0.70060243615921,0.6956521739130435,23.0,7617960132100.0
BALBOA HIGH SCHOOL,2017,San Francisco,0.6613290632506005,8.419371650814078e-05,0.6968855032531889,0.696969696969697,132.0,38684783830288.0
BENICIA HIGH SCHOOL,2017,Solano,0.1775644871025795,0.0892606789525976,0.6401510857532847,0.7294117647058823,85.0,48705244831004.0
BERKELEY HIGH SCHOOL,2017,Alameda,0.2786613651424784,0.075745376175774,0.7310179088483806,0.8067632850241546,414.0,1611430131177.0
BRANHAM HIGH SCHOOL,2017,Santa Clara,0.1258566978193146,-0.0154610123371913,0.6680925912845598,0.6526315789473685,95.0,43694014330866.0
BUCKINGHAM COLLEGIATE CHARTER,2017,Solano,0.1673553719008264,0.1847845627780426,0.6046891214324837,0.7894736842105263,19.0,48705734830113.0
